Local time,Open,High,Low,Close,Volume
03.02.2021 19:00:00.000 GMT-0500,0.89841,0.89889,0.89836,0.89889,1051.13
03.02.2021 20:00:00.000 GMT-0500,0.89887,0.89922,0.89869,0.89912,1601.9
03.02.2021 21:00:00.000 GMT-0500,0.89912,0.89934,0.89871,0.89926,1277.14
03.02.2021 22:00:00.000 GMT-0500,0.89927,0.90002,0.89927,0.89990,1202.05
03.02.2021 23:00:00.000 GMT-0500,0.89990,0.90014,0.89967,0.89975,731.5
04.02.2021 00:00:00.000 GMT-0500,0.89976,0.90032,0.89976,0.89996,1254.46
04.02.2021 01:00:00.000 GMT-0500,0.89996,0.90062,0.89996,0.90045,1129.21
04.02.2021 02:00:00.000 GMT-0500,0.90047,0.90117,0.90033,0.90049,2981.99
04.02.2021 03:00:00.000 GMT-0500,0.90048,0.90229,0.90008,0.90221,5454.04
04.02.2021 04:00:00.000 GMT-0500,0.90220,0.90263,0.90134,0.90229,4552.9902
04.02.2021 05:00:00.000 GMT-0500,0.90228,0.90245,0.90140,0.90215,3224.9299
04.02.2021 06:00:00.000 GMT-0500,0.90214,0.90246,0.90175,0.90242,2671.0601
04.02.2021 07:00:00.000 GMT-0500,0.90242,0.90274,0.90189,0.90201,5226.79
04.02.2021 08:00:00.000 GMT-0500,0.90199,0.90268,0.90153,0.90248,4108.9199
04.02.2021 09:00:00.000 GMT-0500,0.90249,0.90332,0.90227,0.90293,5248.0801
04.02.2021 10:00:00.000 GMT-0500,0.90293,0.90398,0.90263,0.90319,4770.7402
04.02.2021 11:00:00.000 GMT-0500,0.90319,0.90352,0.90295,0.90313,2984.3899
04.02.2021 12:00:00.000 GMT-0500,0.90312,0.90406,0.90312,0.90392,2577.3701
04.02.2021 13:00:00.000 GMT-0500,0.90392,0.90404,0.90357,0.90372,1972.47
04.02.2021 14:00:00.000 GMT-0500,0.90372,0.90412,0.90355,0.90404,2204.6499
04.02.2021 15:00:00.000 GMT-0500,0.90402,0.90410,0.90374,0.90400,1619.8199
04.02.2021 16:00:00.000 GMT-0500,0.90399,0.90446,0.90392,0.90401,803.6
04.02.2021 17:00:00.000 GMT-0500,0.90383,0.90425,0.90371,0.90400,486.96
